1, 0: 48.23253, 5
1, 1: 72.29874, 3
1, 2: 257.0456, 11
1, 3: 10.51642, 0
1, 4: 22.03296, 4
1, 5: 18.49963, 0
2, 0: 32.99945, 2
2, 1: 121.3146, 3
2, 2: 33.9494, 4
2, 3: 41.0993, 1
2, 4: 190.2634, 6
2, 5: 5.849854, 0
3, 0: 16.13306, 2
3, 1: 15.31641, 3
3, 2: 9.049805, 0
3, 3: 11.49976, 3
3, 4: 15.36633, 3
3, 5: 21.96631, 2
4, 0: 27.69958, 2
4, 1: 8.899902, 0
4, 2: 16.63306, 3
4, 3: 16.41638, 3
4, 4: 12.01648, 1
4, 5: 5.616577, 1
5, 0: 10.48315, 2
5, 1: 14.48315, 2
5, 2: 20.74963, 4
5, 3: 12.53308, 1
5, 4: 20.86633, 2
5, 5: 5.083252, 0
6, 0: 13.21643, 2
6, 1: 9.849731, 0
6, 2: 8.633179, 1
6, 3: 8.633179, 0
6, 4: 14.88306, 2
6, 5: 26.14966, 3
7, 0: 148.5808, 4
7, 1: 18.29968, 0
7, 2: 7.466553, 1
7, 3: 15.33301, 1
7, 4: 32.73279, 5
7, 5: 11.36646, 1
8, 0: 23.38293, 3
8, 1: 14.63293, 2
8, 2: 7.183228, 1
8, 3: 9.349854, 2
8, 4: 11.08313, 1
8, 5: 11.44971, 4
9, 0: 4.18335, 0
9, 1: 36.81604, 6
9, 2: 4.783203, 0
9, 3: 20.98291, 2
9, 4: 13.08313, 3
9, 5: 13.39978, 2
10, 0: 26.61621, 2
10, 1: 12.96655, 1
10, 2: 21.31628, 4
10, 3: 9.549805, 2
10, 4: 15.79968, 3
10, 5: 22.04956, 4
11, 1: 96.3732757568359, 0
11, 2: 22.8162384033203, 2
11, 3: 16.6663818359375, 4
11, 4: 18.1663513183594, 3
11, 5: 22.3496551513672, 2
11, 6: 18.6663665771484, 3
12, 1: 14.7498474121094, 1
12, 2: 21.6329803466797, 2
12, 3: 9.21650695800781, 1
12, 4: 13.3331298828125, 1
12, 5: 9.73318481445313, 1
12, 6: 10.4997863769531, 1
13, 1: 10.1665344238281, 1
13, 2: 10.1665344238281, 1
13, 3: 15.2330627441406, 3
13, 4: 11.8331604003906, 2
13, 5: 11.7164916992188, 1
13, 6: 10.1498107910156, 1
14, 1: 16.1831665039063, 2
14, 2: 10.6998291015625, 3
14, 3: 6.79986572265625, 1
14, 4: 11.0498352050781, 2
14, 5: 11.4998168945313, 2
14, 6: 9.49984741210938, 1
15, 1: 9.18325805664063, 1
15, 2: 10.233154296875, 2
15, 3: 12.1498413085938, 0
15, 4: 16.0497436523438, 3
15, 5: 13.8664855957031, 1
15, 6: 7.36651611328125, 1
16, 1: 9.977294921875, 2
16, 2: 11.1558837890625, 3
16, 3: 9.61651611328125, 3
16, 4: 10.1831665039063, 2
16, 5: 12.5831298828125, 3
16, 6: 8.88787841796875, 1
17, 1: 9.466552734375, 0
17, 2: 8.73321533203125, 1
17, 3: 13.749755859375, 2
17, 4: 9.86651611328125, 2
17, 5: 10.2665405273438, 2
17, 6: 8.9332275390625, 2
18, 1: 10.8331909179688, 1
18, 2: 8.6832275390625, 1
18, 3: 10.9830932617188, 2
18, 4: 8.8665771484375, 1
18, 5: 10.1998291015625, 2
18, 6: 10.1831665039063, 2
19, 1: 8.56658935546875, 1
19, 2: 15.2997436523438, 2
19, 3: 11.733154296875, 2
19, 4: 11.5831298828125, 2
19, 5: 10.1498413085938, 2
19, 6: 12.3998413085938, 1
20, 1: 9.9498291015625, 2
20, 2: 10.4164428710938, 2
20, 3: 7.783203125, 1
20, 4: 10.2665405273438, 3
20, 5: 8.33319091796875, 1
20, 6: 10.849853515625, 1
21, 1: 11.4332275390625, 1
21, 2: 11.3831787109375, 2
21, 3: 11.099853515625, 1
21, 4: 8.49981689453125, 1
21, 5: 8.56646728515625, 3
21, 6: 9.5633544921875, 1
22, 1: 9.769775390625, 2
22, 2: 10.2498168945313, 1
22, 3: 9.66650390625, 2
22, 4: 9.33319091796875, 2
22, 5: 11.1998291015625, 2
22, 6: 8.93316650390625, 2
23, 1: 8.08319091796875, 1
23, 2: 7.4832763671875, 1
23, 3: 11.5164794921875, 2
23, 4: 10.483154296875, 1
23, 5: 6.39990234375, 1
23, 6: 7.18316650390625, 0
24, 1: 9.4498291015625, 1
24, 2: 7.7332763671875, 1
24, 3: 10.3330688476563, 1
24, 4: 10.216552734375, 1
24, 5: 10.4332275390625, 1
24, 6: 8.08447265625, 0
25, 1: 9.2652587890625, 2
25, 2: 8.8331298828125, 2
25, 3: 9.0166015625, 2
25, 4: 8.849853515625, 1
25, 5: 9.849853515625, 2
25, 6: 11.1497802734375, 2
26, 1: 13.81640625, 2
26, 2: 11.2498779296875, 2
26, 3: 9.733154296875, 2
26, 4: 8.91650390625, 0
26, 5: 10.5831298828125, 1
26, 6: 7.6331787109375, 1
27, 1: 10.9166259765625, 3
27, 2: 11.0831298828125, 4
27, 3: 11.5498046875, 1
27, 4: 9.66650390625, 3
27, 5: 12.8831787109375, 2
27, 6: 10.7164306640625, 2
