"","contrast","estimate","SE","df","t.ratio","p.value"
"1","1000,headset - 1000,monitor",-20.0849673202614,24.83878976925,848.000000000024,-0.808612960085772,0.965972975501339
"2","1000,headset - 50,headset",98.0326797385621,24.83878976925,848.000000000024,3.9467574970148,0.00120287583920264
"3","1000,headset - 50,monitor",65.8758169934641,24.83878976925,848.000000000024,2.65213472980947,0.0862554445316974
"4","1000,headset - 5000,headset",-168.013071895425,24.83878976925,848.000000000024,-6.7641408239391,3.74074660136614e-10
"5","1000,headset - 5000,monitor",-108.575163398693,24.83878976925,848.000000000024,-4.37119378227948,0.00020098725338491
"6","1000,monitor - 50,headset",118.117647058824,24.83878976925,848.000000000024,4.75537045710058,3.42266784717493e-05
"7","1000,monitor - 50,monitor",85.9607843137255,24.83878976925,848.000000000024,3.46074768989524,0.00744493996701145
"8","1000,monitor - 5000,headset",-147.928104575163,24.83878976925,848.000000000024,-5.95552786385333,5.67907039172866e-08
"9","1000,monitor - 5000,monitor",-88.4901960784314,24.83878976925,848.000000000024,-3.56258082219371,0.00518788126630276
"10","50,headset - 50,monitor",-32.156862745098,24.83878976925,848.000000000024,-1.29462276720533,0.788070852377849
"11","50,headset - 5000,headset",-266.045751633987,24.83878976925,848.000000000024,-10.7108983209539,0
"12","50,headset - 5000,monitor",-206.607843137255,24.83878976925,848.000000000024,-8.31795127929428,0
"13","50,monitor - 5000,headset",-233.888888888889,24.83878976925,848.000000000024,-9.41627555374857,0
"14","50,monitor - 5000,monitor",-174.450980392157,24.83878976925,848.000000000024,-7.02332851208895,6.62828680830785e-11
"15","5000,headset - 5000,monitor",59.437908496732,24.83878976925,848.000000000024,2.39294704165962,0.159782378472913
