"","contrast","estimate","SE","df","z.ratio","p.value"
"1","1000,headset - 1000,monitor",-701.674836601307,69.4955587535128,Inf,-10.0966860211889,6.40598685208715e-14
"2","1000,headset - 50,headset",219.88779956427,69.4955587535128,Inf,3.16405542322739,0.0193994912476044
"3","1000,headset - 50,monitor",-613.928649237473,69.4955587535128,Inf,-8.83407026648938,4.47419878923938e-14
"4","1000,headset - 5000,headset",-267.811546840959,69.4955587535128,Inf,-3.85364981078624,0.00162374947636812
"5","1000,headset - 5000,monitor",-777.871459694989,69.4955587535128,Inf,-11.1931103749226,1.46549439250521e-14
"6","1000,monitor - 50,headset",921.562636165577,69.4955587535128,Inf,13.2607414444163,0
"7","1000,monitor - 50,monitor",87.7461873638343,69.4955587535128,Inf,1.26261575469956,0.805402416050611
"8","1000,monitor - 5000,headset",433.863289760348,69.4955587535128,Inf,6.2430362104027,6.43146391698934e-09
"9","1000,monitor - 5000,monitor",-76.196623093682,69.4955587535128,Inf,-1.09642435373369,0.883015784988527
"10","50,headset - 50,monitor",-833.816448801743,69.4955587535128,Inf,-11.9981256897168,0
"11","50,headset - 5000,headset",-487.699346405229,69.4955587535128,Inf,-7.01770523401363,3.38690187007273e-11
"12","50,headset - 5000,monitor",-997.759259259259,69.4955587535128,Inf,-14.35716579815,0
"13","50,monitor - 5000,headset",346.117102396514,69.4955587535128,Inf,4.98042045570313,9.40731806231554e-06
"14","50,monitor - 5000,monitor",-163.942810457516,69.4955587535128,Inf,-2.35904010843325,0.170873570762089
"15","5000,headset - 5000,monitor",-510.05991285403,69.4955587535128,Inf,-7.33946056413639,3.25672822043543e-12
